source,target,relationship,source_type,target_type
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19472,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:12060,relatesTo,Equation,Variable
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19472,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19424,relatesTo,Equation,Variable
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19472,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19425,relatesTo,Equation,Variable
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19472,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19426,relatesTo,Equation,Variable
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19472,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19427,relatesTo,Equation,Variable
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19472,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19432,relatesTo,Equation,Variable
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19472,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19477,relatesTo,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19472,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19478,relatesTo,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19472,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19501,relatesTo,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19472,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19519,relatesTo,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19472,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19524,relatesTo,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19472,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19526,relatesTo,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19472,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19575,relatesTo,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19472,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19623,relatesTo,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19472,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19654,relatesTo,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19472,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19655,relatesTo,Equation,Equation
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19472,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:19711,relatesTo,Equation,Variable
